0x0000: ACCESSORIES_CONNECTED_BITMASK
0x0001: ACCESS_LEVEL
0x0002: ACCESS_LEVEL_TIMEOUT_DELAY_TIME
0x0003: ADDITIONAL_ALARM
0x0004: ADDITIONAL_ALARM_2
0x0005: ADDITIONAL_ALARM_3
0x0006: ADDITIONAL_ALARM_4
0x0007: ADDITIONAL_ALLOW
0x0008: ADDITIONAL_ALLOW_DURING_COMP_COLD_BRINE_ACTIVE
0x0009: ADDITIONAL_ALLOW_XDHW
0x000A: ADDITIONAL_BLOCKED
0x000B: ADDITIONAL_BLOCK_HIGH_T2
0x000C: ADDITIONAL_BLOCK_HIGH_T2_TEMP
0x000D: ADDITIONAL_BLOCK_HIGH_T2_TIME
0x000F: ADDITIONAL_BLOCK_TIME_CONTROL_TEMPERATURE_LIMIT
0x0010: ADDITIONAL_COMP_COLD_BRINE_TRIGGED
0x0011: ADDITIONAL_CONNECTED_COMPRESSOR_1
0x0012: ADDITIONAL_CONNECTED_COMPRESSOR_2
0x0013: ADDITIONAL_CONNECTED_COMPRESSOR_3
0x0014: ADDITIONAL_CONNECTED_COMPRESSOR_4
0x0015: ADDITIONAL_CURRENT_EFFECT_LIMITATION
0x0017: ADDITIONAL_DELAY_TIME
0x0018: ADDITIONAL_DHW_ACKNOWLEDGED
0x0019: ADDITIONAL_DHW_HYSTERESIS
0x001A: ADDITIONAL_DHW_TEMP_CHANGE
0x001B: ADDITIONAL_EFFECT_LIMITATION_COMPRESSOR
0x001D: ADDITIONAL_EFFECT_LIMITATION_DHW
0x001F: ADDITIONAL_EFFECT_LIMITATION_NO_COMPRESSOR
0x0021: ADDITIONAL_ELECTRIC_COUNT
0x0022: ADDITIONAL_ELECTRIC_SIGNAL_1
0x0024: ADDITIONAL_ELECTRIC_SIGNAL_2
0x0026: ADDITIONAL_ELECTRIC_SIGNAL_3
0x0028: ADDITIONAL_ELECTRIC_SIGNAL_4
0x002A: ADDITIONAL_ELECTRIC_SIGNAL_OUT_1
0x002C: ADDITIONAL_ELECTRIC_SIGNAL_OUT_2
0x002E: ADDITIONAL_ELECTRIC_SIGNAL_OUT_3
0x0030: ADDITIONAL_ELECTRIC_SIGNAL_OUT_4
0x0032: ADDITIONAL_EL_NEUTRALZONE_LIMITATION
0x0033: ADDITIONAL_EL_NEUTRALZONE_LIMITATION_TIME
0x0035: ADDITIONAL_EL_NEUTRALZONE_RAMP_DOWN_TIME
0x0037: ADDITIONAL_EL_NEUTRALZONE_RAMP_UP_TIME
0x0039: ADDITIONAL_EL_NEUTRALZONE_SIZE
0x003A: ADDITIONAL_EXTERN_BLOCKED
0x003B: ADDITIONAL_EXTERN_BLOCK_BY_E21_EXT_1
0x003C: ADDITIONAL_EXTERN_BLOCK_BY_E21_EXT_2
0x003D: ADDITIONAL_EXTERN_BLOCK_BY_E22_EXT_1
0x003E: ADDITIONAL_EXTERN_BLOCK_BY_E22_EXT_2
0x003F: ADDITIONAL_GTf_AVERAGE
0x0041: ADDITIONAL_GTf_AVERAGE_OLD
0x0043: ADDITIONAL_LIMITATION_DEFROST_DELAY_TIME
0x0045: ADDITIONAL_LIMITATION_T1_MAX
0x0046: ADDITIONAL_LIMITATION_T1_START
0x0047: ADDITIONAL_LIMITATION_T8_MAX
0x0048: ADDITIONAL_LIMITATION_T8_START
0x0049: ADDITIONAL_LIMIT_100_EXTERN
0x004A: ADDITIONAL_LIMIT_100_EXTERN_BY_E21_EXT_1
0x004B: ADDITIONAL_LIMIT_100_EXTERN_BY_E21_EXT_2
0x004C: ADDITIONAL_LIMIT_100_EXTERN_BY_E22_EXT_1
0x004D: ADDITIONAL_LIMIT_100_EXTERN_BY_E22_EXT_2
0x004E: ADDITIONAL_LIMIT_50_EXTERN
0x004F: ADDITIONAL_LIMIT_50_EXTERN_BY_E21_EXT_1
0x0050: ADDITIONAL_LIMIT_50_EXTERN_BY_E21_EXT_2
0x0051: ADDITIONAL_LIMIT_50_EXTERN_BY_E22_EXT_1
0x0052: ADDITIONAL_LIMIT_50_EXTERN_BY_E22_EXT_2
0x0053: ADDITIONAL_LIMIT_KW_BY_E21_EXT_1
0x0054: ADDITIONAL_LIMIT_KW_BY_E21_EXT_2
0x0055: ADDITIONAL_LIMIT_KW_BY_E22_EXT_1
0x0056: ADDITIONAL_LIMIT_KW_BY_E22_EXT_2
0x0057: ADDITIONAL_LIMIT_KW_EXTERN
0x0058: ADDITIONAL_LIMIT_PERCENT_EXTERN
0x0059: ADDITIONAL_LIMIT_PERCENT_EXTERN_BY_E21_EXT_1
0x005A: ADDITIONAL_LIMIT_PERCENT_EXTERN_BY_E21_EXT_2
0x005B: ADDITIONAL_LIMIT_PERCENT_EXTERN_BY_E22_EXT_1
0x005C: ADDITIONAL_LIMIT_PERCENT_EXTERN_BY_E22_EXT_2
0x005D: ADDITIONAL_NEUTRALZONE_DECREASE
0x005E: ADDITIONAL_NEUTRALZONE_INCREASE
0x005F: ADDITIONAL_NEUTRALZONE_SIGNAL
0x0061: ADDITIONAL_ONE_STEP_START
0x0063: ADDITIONAL_ONE_STEP_STOP
0x0065: ADDITIONAL_ONLY
0x0066: ADDITIONAL_ONLY_RAMP_TIME
0x0067: ADDITIONAL_ONLY_SIGNAL_RAMP_UP
0x0068: ADDITIONAL_PID_D
0x006A: ADDITIONAL_PID_I
0x006C: ADDITIONAL_PID_MAX
0x006E: ADDITIONAL_PID_MIN
0x0070: ADDITIONAL_PID_P
0x0072: ADDITIONAL_POOL_ALLOW
0x0073: ADDITIONAL_POOL_DELAY_TIME
0x0075: ADDITIONAL_POOL_MODE
0x0076: ADDITIONAL_POOL_RAMP_DOWN_TIME
0x0077: ADDITIONAL_POOL_RAMP_UP_TIME
0x0078: ADDITIONAL_PROGRAM_1_FRI
0x007A: ADDITIONAL_PROGRAM_1_MON
0x007C: ADDITIONAL_PROGRAM_1_SAT
0x007E: ADDITIONAL_PROGRAM_1_SUN
0x0080: ADDITIONAL_PROGRAM_1_THU
0x0082: ADDITIONAL_PROGRAM_1_TUE
0x0084: ADDITIONAL_PROGRAM_1_WED
0x0086: ADDITIONAL_RAMP_DECREASE
0x0087: ADDITIONAL_RAMP_INCREASE
0x0088: ADDITIONAL_RAMP_INCREASE_DHW
0x0089: ADDITIONAL_REQUEST
0x008A: ADDITIONAL_SIGNAL
0x008C: ADDITIONAL_SIGNAL_FASTKONDENSERING
0x008E: ADDITIONAL_SIGNAL_LIMITATION
0x0090: ADDITIONAL_SIGNAL_NORMAL
0x0092: ADDITIONAL_SIGNAL_ONLY
0x0094: ADDITIONAL_SIGNAL_PID
0x0096: ADDITIONAL_SIGNAL_POOL
0x0098: ADDITIONAL_START_TIMER_ELAPSED_AT_COLD_BRINE
0x009C: ADDITIONAL_TIMEPROGRAM
0x009D: ADDITIONAL_TIMER_EVU_ECONOMY_MODE
0x009E: ADDITIONAL_TIME_CONTROL_BLOCK
0x009F: ADDITIONAL_TOTAL_EFFECT_PATRON
0x00A1: ADDITIONAL_USER_BLOCKED
0x00A2: ADDITIONAL_USER_ONLY
0x00A3: ADDITIONAL_USE_NEUTRALZONE_REGULATOR
0x00A4: ADDITIONAL_VALVE_ALLOW
0x00A5: ADDITIONAL_VALVE_CLOSE_TIME
0x00A6: ADDITIONAL_VALVE_DELAY_TIME
0x00A7: ADDITIONAL_VALVE_MEASUREMENT
0x00A9: ADDITIONAL_VALVE_OPEN_TIME
0x00AA: ADDITIONAL_VALVE_RUNNING_TIME
0x00AC: ADDITIONAL_VALVE_SIGNAL
0x00AE: AHB0016_BOOT_COUNT
0x00AF: AHB0016_CONNECTED
0x00B0: AHB0016_CONNECTED_2
0x00B1: AHB0016_CONNECTED_3
0x00B2: AHB0016_CONNECTED_4
0x00B3: AHB0016_CONNECTED_BITMASK
0x00B4: AHB0016_VERSION
0x00B6: AHB0016_VERSION_2
0x00B8: AHB0016_VERSION_3
0x00BA: AHB0016_VERSION_4
0x00BC: AHB9012_CONNECTED
0x00BD: AHB9012_VERSION
0x00BF: ALARM_MODE_DELAY_TIME
0x00C1: ALARM_MODE_REQUEST
0x00C2: BACKWARDS_COMPABILITY_DUMMY
0x00C3: BIVALENCE_POINT
